subject_id,condition,p1_amp,p1_lat_ms,n_epochs,n1_amp,n1_lat_ms,p2p_amp
27,Ratio 0.8 (4:5),0.11368211520781375,108.0,12,-2.5319899193534763,144.0,2.64567203456129
27,Ratio 0.83 (5:6),0.2712759440106748,92.0,13,-3.705511912204528,204.0,3.9767878562152026
28,Ratio 0.5 (1:2),1.9957162134468913,112.0,31,-4.300598966949861,176.0,6.2963151803967525
28,Ratio 0.67 (2:3),2.339729235433849,112.0,25,-3.922861904227949,152.0,6.262591139661798
28,Ratio 0.75 (3:4),0.5678488974077519,112.0,13,-4.746867601626439,164.0,5.3147164990341915
28,Ratio 0.8 (4:5),3.82371036148381,112.0,9,-1.9874725055632865,180.0,5.811182867047097
28,Ratio 0.83 (5:6),-0.6136346254159517,112.0,11,-4.100865298452811,184.0,3.487230673036859
29,Ratio 0.5 (1:2),1.0509789334180357,96.0,39,-3.5406498984830708,160.0,4.591628831901106
29,Ratio 0.67 (2:3),1.90502581934236,100.0,25,-3.269008846191718,148.0,5.174034665534078
29,Ratio 0.75 (3:4),-0.053076204636875186,112.0,14,-5.26524383837651,148.0,5.212167633739635
29,Ratio 0.8 (4:5),0.9081355402737727,100.0,14,-7.004455567620674,144.0,7.912591107894447
29,Ratio 0.83 (5:6),0.5076936725998185,96.0,13,-4.959084590059687,184.0,5.466778262659505
31,Ratio 0.5 (1:2),0.36354825157078186,92.0,38,-5.46861710417488,144.0,5.832165355745662
31,Ratio 0.67 (2:3),0.7616941344999629,92.0,27,-6.069286872400182,200.0,6.830981006900145
31,Ratio 0.75 (3:4),-0.3164747720362538,96.0,15,-4.078801143403724,204.0,3.76232637136747
31,Ratio 0.8 (4:5),3.069680322451722,92.0,12,-3.053927624329305,144.0,6.123607946781027
31,Ratio 0.83 (5:6),1.0948867930528028,92.0,13,-3.9387089394208057,200.0,5.033595732473609
32,Ratio 0.5 (1:2),-0.517440575540662,112.0,36,-4.357237273714379,168.0,3.839796698173717
32,Ratio 0.67 (2:3),0.06346704604631082,104.0,27,-5.0888841465746575,168.0,5.152351192620968
32,Ratio 0.75 (3:4),-1.0908527765203881,96.0,17,-5.397940410117524,168.0,4.307087633597136
32,Ratio 0.8 (4:5),0.3694881647943647,112.0,12,-5.3417678623124525,168.0,5.711256027106817
32,Ratio 0.83 (5:6),-2.6063661943959273,112.0,10,-7.157408640503885,164.0,4.5510424461079575
33,Ratio 0.5 (1:2),3.0898352761925025,104.0,40,-3.4430136506998505,164.0,6.532848926892353
33,Ratio 0.67 (2:3),3.8845834318980614,104.0,29,-3.3430509668452406,160.0,7.227634398743302
33,Ratio 0.75 (3:4),2.7809111714068755,100.0,12,-5.430977644277758,156.0,8.211888815684633
33,Ratio 0.8 (4:5),1.987629931415219,108.0,12,-3.5334498250366595,144.0,5.521079756451878
33,Ratio 0.83 (5:6),2.983263998088398,108.0,14,-6.576332839643813,160.0,9.559596837732212
